date,source,mean_sst,site
2000-04-23,METOFFICE,NA,OL
2000-04-24,ESACCI,18.0723619135881,OL
2000-04-24,METOFFICE,NA,OL
2000-04-25,ESACCI,17.9323619167174,OL
2000-04-25,METOFFICE,NA,OL
2000-04-26,ESACCI,17.8736777075027,OL
2000-04-26,METOFFICE,NA,OL
2000-04-27,ESACCI,17.7247303424109,OL
2000-04-27,METOFFICE,NA,OL
2000-04-28,ESACCI,17.5970987663163,OL
2000-04-28,METOFFICE,NA,OL
2000-04-29,ESACCI,17.4952566633295,OL
2000-04-29,METOFFICE,NA,OL
2000-04-30,ESACCI,18.5436776925271,OL
2000-04-30,METOFFICE,NA,OL
2000-05-01,ESACCI,18.2207829629022,OL
2000-05-01,METOFFICE,NA,OL
2000-05-02,ESACCI,18.0994671761401,OL
2000-05-02,METOFFICE,NA,OL
2000-05-03,ESACCI,17.9713092842679,OL
2000-05-03,METOFFICE,NA,OL
2000-05-04,ESACCI,17.7536777101849,OL
2000-05-04,METOFFICE,NA,OL
2000-05-05,ESACCI,17.6849935011938,OL
2000-05-05,METOFFICE,NA,OL
2000-05-06,ESACCI,17.5860461349844,OL
2000-05-06,METOFFICE,NA,OL
2000-05-07,ESACCI,17.760782973184,OL
2000-05-07,METOFFICE,NA,OL
2000-05-08,ESACCI,17.8194671823986,OL
2000-05-08,METOFFICE,NA,OL
2000-05-09,ESACCI,17.7552566575181,OL
2000-05-09,METOFFICE,NA,OL
2000-05-10,ESACCI,17.8955198122777,OL
2000-05-10,METOFFICE,NA,OL
2000-05-11,ESACCI,18.0323619144822,OL
2000-05-11,METOFFICE,NA,OL
2000-05-12,ESACCI,18.0320987565933,OL
2000-05-12,METOFFICE,NA,OL
2000-05-13,ESACCI,18.3294671709992,OL
2000-05-13,METOFFICE,NA,OL
2000-05-14,ESACCI,18.5549934817478,OL
2000-05-14,METOFFICE,NA,OL
2000-05-15,ESACCI,18.5592040079695,OL
2000-05-15,METOFFICE,NA,OL
